iso,countryName,href
TCA,Turks and Caicos Islands,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg
TUV,Tuvalu,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg
UGA,Uganda,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg
UKR,Ukraine,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
ARE,United Arab Emirates,https://upload.wikimedia.org/wikipedia/commons/3/3b/Flag_of_the_United_Arab_Emirates_%283-2%29.svg
GBR,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_the_United_Kingdom_%283-2_aspect_ratio%29.svg
USA,United States,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg
URY,Uruguay,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg
UZB,Uzbekistan,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Uzbekistan_%283-2%29.svg
VUT,Vanuatu,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Vanuatu_%28official%29.svg
VAT,Vatican City,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg
VEN,Venezuela,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg
VNM,Vietnam,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg
YEM,Yemen,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg
ZMB,Zambia,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg
ZWE,Zimbabwe,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Zimbabwe_%283-2%29.svg
,Other,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_the_United_Nations.svg
